# Simulation 1 (Up to date)
# 357 data points written for 12 variables.
#
# Tempo (s),Altitude (m),Número de Mach (​),Número de Reynolds (​),Coeficiente de arrasto (​),Coeficiente de arrasto axial (​),Coeficiente de arrasto de atrito (​),Coeficiente de arrasto de pressão (​),Coeficiente de arrasto de base (​),Coeficiente de força normal (​),Temperatura do ar (°C),Pressão do ar (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.251,556.458,0.114,1.041e6,0.513,0.513,0.19,0.201,0.122,3.278e-4,15.785,852.475
7.301,558.394,0.113,1.025e6,0.513,0.513,0.191,0.201,0.122,2.76e-4,15.771,852.277
7.351,560.301,0.111,1.01e6,0.514,0.514,0.191,0.2,0.122,2.211e-4,15.756,852.081
7.401,562.18,0.109,9.951e5,0.514,0.514,0.192,0.2,0.122,2.305e-4,15.742,851.888
7.451,564.031,0.108,9.8e5,0.514,0.514,0.192,0.2,0.122,2.4e-4,15.728,851.698
7.501,565.854,0.106,9.65e5,0.514,0.514,0.193,0.2,0.122,3.187e-4,15.714,851.51
7.551,567.649,0.105,9.5e5,0.515,0.515,0.193,0.2,0.122,3.561e-4,15.7,851.326
7.601,569.416,0.103,9.351e5,0.515,0.515,0.194,0.2,0.122,3.471e-4,15.687,851.144
7.651,571.156,0.101,9.203e5,0.515,0.515,0.195,0.199,0.122,3.189e-4,15.674,850.966
7.701,572.868,0.1,9.055e5,0.516,0.516,0.195,0.199,0.121,2.04e-4,15.661,850.79
7.751,574.553,0.098,8.907e5,0.516,0.516,0.196,0.199,0.121,8.862e-5,15.648,850.617
7.801,576.21,0.096,8.761e5,0.517,0.517,0.196,0.199,0.121,5.514e-5,15.636,850.447
7.851,577.84,0.095,8.614e5,0.517,0.517,0.197,0.199,0.121,1.52e-4,15.623,850.279
7.901,579.443,0.093,8.469e5,0.517,0.517,0.197,0.199,0.121,2.273e-4,15.611,850.115
7.951,581.019,0.092,8.324e5,0.518,0.518,0.198,0.198,0.121,3.192e-4,15.599,849.953
8.001,582.568,0.09,8.179e5,0.518,0.518,0.199,0.198,0.121,3.638e-4,15.587,849.794
8.051,584.089,0.089,8.035e5,0.519,0.519,0.199,0.198,0.121,3.382e-4,15.576,849.637
8.101,585.584,0.087,7.891e5,0.519,0.519,0.2,0.198,0.121,3.173e-4,15.565,849.484
8.151,587.052,0.085,7.748e5,0.519,0.519,0.201,0.198,0.121,2.284e-4,15.554,849.333
8.201,588.494,0.084,7.605e5,0.52,0.52,0.201,0.198,0.121,1.996e-4,15.543,849.185
8.251,589.909,0.082,7.463e5,0.52,0.52,0.202,0.197,0.121,1.716e-4,15.532,849.039
8.301,591.297,0.081,7.321e5,0.521,0.521,0.203,0.197,0.121,2.108e-4,15.521,848.897
8.351,592.659,0.079,7.18e5,0.521,0.521,0.203,0.197,0.121,2.609e-4,15.511,848.757
8.401,593.995,0.078,7.039e5,0.522,0.522,0.204,0.197,0.121,3.039e-4,15.501,848.62
8.451,595.304,0.076,6.899e5,0.522,0.522,0.205,0.197,0.121,3.29e-4,15.491,848.485
8.501,596.587,0.075,6.759e5,0.523,0.523,0.206,0.196,0.121,3.034e-4,15.481,848.353
8.551,597.844,0.073,6.619e5,0.524,0.524,0.207,0.196,0.121,3.063e-4,15.472,848.224
8.601,599.075,0.071,6.48e5,0.524,0.524,0.207,0.196,0.121,2.784e-4,15.462,848.098
8.651,600.279,0.07,6.341e5,0.525,0.525,0.208,0.196,0.121,2.375e-4,15.453,847.976
8.701,601.458,0.068,6.202e5,0.525,0.525,0.209,0.196,0.121,2.096e-4,15.444,847.86
8.751,602.611,0.067,6.064e5,0.526,0.526,0.21,0.195,0.121,2.251e-4,15.436,847.747
8.801,603.738,0.065,5.927e5,0.527,0.527,0.211,0.195,0.121,2.938e-4,15.427,847.636
8.851,604.84,0.064,5.789e5,0.527,0.527,0.212,0.195,0.121,4.048e-4,15.419,847.528
8.901,605.915,0.062,5.652e5,0.528,0.528,0.213,0.195,0.121,5.043e-4,15.411,847.423
8.951,606.965,0.061,5.515e5,0.529,0.529,0.214,0.194,0.121,5.806e-4,15.403,847.32
